id,english,telugu
1223,I've gone to Australia twice.,నేను రెండుసార్లు ఆస్ట్రేలియా వెళ్ళాను.
1224,I will only buy the car if they repair the brakes first.,వారు మొదట బ్రేక్‌లను రిపేర్ చేస్తేనే నేను కారును కొనుగోలు చేస్తాను.
1225,I'm very unlikely to be late.,నేను ఆలస్యం అయ్యే అవకాశం చాలా తక్కువ.
1226,It's a new book.,ఇది కొత్త పుస్తకం.
1227,It's unlikely.,ఇది అసంభవం.
1228,I don't think that they need me.,వారు నాకు అవసరం అని నేను అనుకోను.
1229,It's very unlikely that we will ever find a solution to this problem.,ఈ సమస్యకు మనం ఎప్పుడైనా పరిష్కారం కనుగొనే అవకాశం చాలా తక్కువ.
1230,I'm glad I don't have anywhere to go.,నేను ఎక్కడికి వెళ్ళనందుకు సంతోషంగా ఉంది.
1231,I don't want trouble.,నాకు ఇబ్బంది వద్దు.
1232,We are all happy to help.,సహాయం చేయడానికి మేము అందరం సంతోషంగా ఉన్నాము.
1233,I've spent all the money you gave me.,మీరు నాకు ఇచ్చిన డబ్బులన్నీ నేను ఖర్చు చేశాను.
1234,Don't just stand there. Come over here and help me.,అక్కడ నిలబడకండి.
1235,I've never eaten alligator meat.,నేను ఎలిగేటర్ మాంసం ఎప్పుడూ తినలేదు.
1236,Don't come any closer.,దగ్గరకు రావద్దు.
1237,Please come next Friday.,దయచేసి వచ్చే శుక్రవారం రండి.
1238,I'm running out of time.,నేను సమయం గడుస్తున్నాను.
1239,I didn't know we'd need that.,మాకు అది అవసరమని నాకు తెలియదు.
1240,I don't want to talk about it now.,నేను ఇప్పుడు దాని గురించి మాట్లాడటానికి ఇష్టపడను.
1241,I wasn't the one who closed the door.,నేను తలుపు మూసిన వ్యక్తిని కాదు.
1242,How long will this go on?,ఇది ఎంతకాలం కొనసాగుతుంది?
1243,I don't need this.,నాకు ఇది అవసరం లేదు.
1244,Let's meet here again a year from today.,ఈ రోజు నుండి ఒక సంవత్సరం మళ్ళీ ఇక్కడ కలుద్దాం.
1245,I'm not ready to die yet.,నేను ఇంకా చనిపోవడానికి సిద్ధంగా లేను.
1246,I have contacts in the White House.,నాకు వైట్ హౌస్ లో పరిచయాలు ఉన్నాయి.
1247,It's been a really good year.,ఇది నిజంగా మంచి సంవత్సరం.
1248,Please sit still.,దయచేసి ఇంకా కూర్చోండి.
1249,I'm pretty happy with how things turned out.,విషయాలు ఎలా మారాయో నేను చాలా సంతోషంగా ఉన్నాను.
1250,How many times have you been arrested?,మిమ్మల్ని ఎన్నిసార్లు అరెస్టు చేశారు?
1251,It's good that it's snowing.,ఇది మంచు కురవడం మంచిది.
1252,I'll go to the hospital.,నేను ఆసుపత్రికి వెళ్తాను.
1253,I don't want a divorce.,నాకు విడాకులు వద్దు.
1254,I'm going to study French next year.,నేను వచ్చే ఏడాది ఫ్రెంచ్ అధ్యయనం చేయబోతున్నాను.
1255,I'm not going to sing.,నేను పాడటానికి వెళ్ళడం లేదు.
1256,"I don't even know how to say ""thank you"" in French.","ఫ్రెంచ్‌లో ""థాంక్స్"" ఎలా చెప్పాలో కూడా నాకు తెలియదు."
1257,I'm sure I can help.,నేను సహాయం చేయగలనని ఖచ్చితంగా అనుకుంటున్నాను.
1258,I want to know who gave that to you.,మీకు ఎవరు ఇచ్చారో నేను తెలుసుకోవాలనుకుంటున్నాను.
1259,I think they're happy.,వారు సంతోషంగా ఉన్నారని నేను భావిస్తున్నాను.
1260,Don't forget that good jobs are very hard to come by these days.,ఈ రోజుల్లో మంచి ఉద్యోగాలు రావడం చాలా కష్టమని మర్చిపోవద్దు.
1261,Don't let him drink this juice.,అతన్ని ఈ రసం తాగనివ్వవద్దు.
1262,I think your work is very good.,మీ పని చాలా బాగుందని నా అభిప్రాయం.
1263,I didn't know who I should give it to.,నేను ఎవరికి ఇవ్వాలో నాకు తెలియదు.
1264,Would you like to see your husband grow a beard?,మీ భర్త గడ్డం పెంచుకోవడాన్ని మీరు చూడాలనుకుంటున్నారా?
1265,I'm going to go take a nap.,నేను ఒక ఎన్ఎపి తీసుకొని వెళ్ళబోతున్నాను.
1266,Could you go to the store?,మీరు దుకాణానికి వెళ్ళగలరా?
1267,I don't want your job.,మీ ఉద్యోగం నాకు అక్కరలేదు.
1268,I need to take notes.,నేను నోట్స్ తీసుకోవాలి.
1269,I want to cut down on the time it takes to process records.,రికార్డులను ప్రాసెస్ చేయడానికి తీసుకునే సమయాన్ని నేను తగ్గించాలనుకుంటున్నాను.
1270,Please make coffee.,దయచేసి కాఫీ చేయండి.
1271,We are going to have a baby next month.,వచ్చే నెలలో మాకు బిడ్డ పుట్టబోతోంది.
1272,Please try again.,దయచేసి మళ్ళీ ప్రయత్నించండి.
1273,I feel like having an ice cream.,నాకు ఐస్ క్రీం ఉన్నట్లు అనిపిస్తుంది.
1274,I'm doing great.,నేను చాలా బాగా చేస్తున్నాను.
1275,How much milk should I buy?,నేను ఎంత పాలు కొనాలి?
1276,I didn't want anybody to feel sorry for me.,ఎవరైనా నన్ను క్షమించాలని నేను కోరుకోలేదు.
1277,Would you like a taste?,మీకు రుచి కావాలా?
1278,I hope that you will like it.,మీకు నచ్చుతుందని నేను ఆశిస్తున్నాను.
1279,I have already read today's paper.,నేటి పేపర్‌ను నేను ఇప్పటికే చదివాను.
1280,I know a lot of people who don't eat meat.,మాంసం తినని చాలా మంది నాకు తెలుసు.
1281,I don't drink beer anymore.,నేను ఇక బీరు తాగను.
1282,I have three friends who can speak French.,"నాకు ముగ్గురు స్నేహితులు ఉన్నారు, వారు ఫ్రెంచ్ మాట్లాడగలరు."
1283,I will be seeing the doctor again next Friday.,వచ్చే శుక్రవారం నేను మళ్ళీ డాక్టర్‌ని చూస్తాను.
1284,I need some light.,నాకు కొంత కాంతి కావాలి.
1285,I was offered a new job.,నాకు కొత్త ఉద్యోగం ఇచ్చింది.
1286,There is not a drop of water left.,ఒక చుక్క నీరు కూడా మిగిలి లేదు.
1287,"I like this picture, not because it is a masterpiece, but because it has charm.","నేను ఈ చిత్రాన్ని ఇష్టపడుతున్నాను, ఎందుకంటే ఇది ఒక కళాఖండం కాదు, కానీ దానికి మనోజ్ఞతను కలిగి ఉంది."
1288,We have room.,మాకు గది ఉంది.
1289,Please let us know.,దయచేసి మాకు తెలియజేయండి.
1290,I can't do a year's worth of work in three weeks.,నేను మూడు వారాల్లో ఒక సంవత్సరం విలువైన పనిని చేయలేను.
1291,Tell me a story.,నాకు ఒక కథ చెప్పండి.
1292,Don't take that tone of voice with me.,ఆ స్వరాన్ని నాతో తీసుకోకండి.
1293,I don't want to go back to jail.,నేను తిరిగి జైలుకు వెళ్లడం ఇష్టం లేదు.
1294,It's about time.,ఇది సమయం గురించి.
1295,I have something that I want to say to you.,నేను మీకు చెప్పదలచుకున్నది నా దగ్గర ఉంది.
1296,Please remove your shoes before entering the house.,దయచేసి ఇంట్లోకి ప్రవేశించే ముందు మీ బూట్లు తొలగించండి.
1297,How many people are here today?,ఈ రోజు ఇక్కడ ఎంత మంది ఉన్నారు?
1298,I have two cars.,నా దగ్గర రెండు కార్లు ఉన్నాయి.
1299,You have to go.,మీరు వెళ్ళాలి.
1300,It is a pity that he can't come.,అతను రాలేదనేది జాలి.
1301,I'm sorry. I have another appointment.,నన్ను క్షమించండి.
1302,How many of these pills did you take?,వీటిలో ఎన్ని మాత్రలు తీసుకున్నారు?
1303,I'll help you clean your room.,మీ గదిని శుభ్రం చేయడానికి నేను మీకు సహాయం చేస్తాను.
1304,I'm not good at public speaking.,నేను బహిరంగంగా మాట్లాడటం మంచిది కాదు.
1305,I'm a good student.,నేను మంచి విద్యార్థిని.
1306,You must take his age into account.,మీరు అతని వయస్సును పరిగణనలోకి తీసుకోవాలి.
1307,I think we're ready.,నేను సిద్ధంగా ఉన్నానని అనుకుంటున్నాను.
1308,Please tell me your name.,దయచేసి మీ పేరు చెప్పు.
1309,I think I'd better do that today.,నేను ఈ రోజు బాగా చేస్తానని అనుకుంటున్నాను.
1310,I like spending time with you.,మీతో సమయం గడపడం నాకు చాలా ఇష్టం.
1311,Let's hurry.,తొందరపడదాం.
1312,I can't carry this suitcase. It's too heavy.,నేను ఈ సూట్‌కేస్‌ను మోయలేను.
1313,I've got a long way to go.,నేను చాలా దూరం వెళ్ళాను.
1314,I don't talk like that.,నేను అలా మాట్లాడను.
1315,Let's eat something before we go.,మనం వెళ్ళేముందు ఏదైనా తినండి.
1316,I know that you don't like chocolate.,మీకు చాక్లెట్ నచ్చదని నాకు తెలుసు.
1317,Please do this for me.,దయచేసి నా కోసం దీన్ని చేయండి.
1318,I haven't eaten anything today.,నేను ఈ రోజు ఏమీ తినలేదు.
1319,Don't worry. He knows what he's doing.,చింతించకండి.
1320,I wanted to participate.,నేను పాల్గొనాలని అనుకున్నాను.
1321,It's raining now.,ఇప్పుడు వర్షం పడుతోంది.
1322,Please step back.,దయచేసి వెనక్కి వెళ్ళండి.
1323,I'll get the work done by the time he gets back.,అతను తిరిగి వచ్చే సమయానికి నేను పనిని పూర్తి చేస్తాను.
1324,Tell me what you did.,మీరు ఏమి చేశారో చెప్పు.
1325,He is good for nothing.,అతను దేనికీ మంచిది కాదు.
1326,I didn't want to leave before the work was completed.,పని పూర్తయ్యేలోపు నేను బయలుదేరడానికి ఇష్టపడలేదు.
1327,I don't know what was going on.,ఏమి జరుగుతుందో నాకు తెలియదు.
1328,I have to give a speech in French.,నేను ఫ్రెంచ్ భాషలో ప్రసంగం ఇవ్వాలి.
1329,Where is your wife?,మీ భార్య ఎక్కడ ఉంది?
1330,"I forgot, she said.","నేను మర్చిపోయాను, ఆమె చెప్పింది."
1331,I don't know if I can come.,నేను రాగలనా అని నాకు తెలియదు.
1332,I'm afraid it's true.,ఇది నిజమని నేను భయపడుతున్నాను.
1333,How long does it take to get to the beach from here?,ఇక్కడి నుండి బీచ్ చేరుకోవడానికి ఎంత సమయం పడుతుంది?
1334,I need to lose a little weight.,నేను కొద్దిగా బరువు తగ్గాలి.
1335,Would you please lend me your dictionary?,దయచేసి మీ నిఘంటువు నాకు అప్పుగా ఇస్తారా?
1336,I want an attorney.,నాకు న్యాయవాది కావాలి.
1337,I forgot my raincoat.,నా రెయిన్ కోట్ మర్చిపోయాను.
1338,I'm already at work.,నేను ఇప్పటికే పనిలో ఉన్నాను.
1339,I'll call security.,నేను భద్రతను పిలుస్తాను.
1340,I don't know how you lasted five years in that job.,ఆ ఉద్యోగంలో మీరు ఐదేళ్లు ఎలా కొనసాగారో నాకు తెలియదు.
1341,I didn't play very well today.,నేను ఈ రోజు బాగా ఆడలేదు.
1342,I have to go now. Did you see where I put my things?,నేను ఇప్పుడు వెళ్ళాలి.
1343,I hope he'll be able to come! I'd like to see him.,అతను రాగలడని నేను ఆశిస్తున్నాను!
1344,I like neither of them.,నేను వారిద్దరినీ ఇష్టపడను.
1345,I'm not going to deny that.,నేను దానిని తిరస్కరించడం లేదు.
1346,Look at what you've become.,మీరు ఏమి అయ్యారో చూడండి.
1347,I'm very sorry for you.,నేను మీ కోసం చాలా క్షమించండి.
1348,How many does he want?,అతనికి ఎన్ని కావాలి?
1349,You must not open the door.,మీరు తలుపు తెరవకూడదు.
1350,I'll talk to you later.,నేను నీతో తరువాత మాట్లాడుతాను.
1351,I've only read the first part of the book.,నేను పుస్తకం యొక్క మొదటి భాగాన్ని మాత్రమే చదివాను.
1352,I'm working on that.,నేను దానిపై పని చేస్తున్నాను.
1353,I need time to think about this.,దీని గురించి ఆలోచించడానికి నాకు సమయం కావాలి.
1354,I don't want to talk to you about this.,దీని గురించి మీతో మాట్లాడటానికి నేను ఇష్టపడను.
1355,I know it'll take a while.,కొంత సమయం పడుతుందని నాకు తెలుసు.
1356,Tell me what's happening.,ఏమి జరుగుతుందో చెప్పు.
1357,I forgot my bag.,నా బ్యాగ్ మర్చిపోయాను.
1358,Don't forget to turn off the TV before you go to sleep.,మీరు నిద్రపోయే ముందు టీవీని ఆపివేయడం మర్చిపోవద్దు.
1359,I'm glad that you want to support this project.,మీరు ఈ ప్రాజెక్టుకు మద్దతు ఇవ్వాలనుకుంటున్నందుకు నేను సంతోషిస్తున్నాను.
1360,It's been raining all day.,రోజంతా వర్షం పడుతోంది.
1361,I want to declutter my apartment.,నేను నా అపార్ట్మెంట్ను తగ్గించాలనుకుంటున్నాను.
1362,I am too busy to go.,నేను వెళ్ళడానికి చాలా బిజీగా ఉన్నాను.
1363,I haven't heard you play the guitar in a long time.,మీరు చాలా కాలంగా గిటార్ వాయించడం నేను వినలేదు.
1364,I need to talk to you about this.,దీని గురించి నేను మీతో మాట్లాడాలి.
1365,I have a boyfriend.,నాకు ఒక మగ స్నేహితుడు వున్నాడు.
1366,Please hurry up.,దయచేసి తొందరపడండి.
1367,I hope we have enough time.,మనకు తగినంత సమయం ఉందని నేను ఆశిస్తున్నాను.
1368,Please stop.,దయచేసి ఆగండి.
1369,I'll have a drink.,నేను పానీయం తీసుకుంటాను.
1370,I have many model cars.,నా దగ్గర చాలా మోడల్ కార్లు ఉన్నాయి.
1371,We aren't related.,మాకు సంబంధం లేదు.
1372,"You're going to need help, aren't you?","మీకు సహాయం కావాలి, లేదా?"
1373,I'm in a hurry today.,నేను ఈ రోజు ఆతురుతలో ఉన్నాను.
1374,I hope they're friendly.,వారు స్నేహపూర్వకంగా ఉన్నారని నేను నమ్ముతున్నాను.
1375,I wish I could paint like that.,నేను అలా చిత్రించాలనుకుంటున్నాను.
1376,I don't understand you sometimes.,నేను కొన్నిసార్లు మిమ్మల్ని అర్థం చేసుకోను.
1377,How many times have you swum across this river?,మీరు ఈ నదికి ఎన్నిసార్లు ఈదుకున్నారు?
1378,Tell me when you're coming back home.,మీరు ఇంటికి తిరిగి వచ్చేటప్పుడు చెప్పు.
1379,I'm the one who needs help.,నేను సహాయం కావాలి.
1380,How much time did it take to do that?,అలా చేయడానికి ఎంత సమయం పట్టింది?
1381,I need a lot of them.,నాకు చాలా అవసరం.
1382,Can you tell me what to do?,ఏమి చేయాలో మీరు నాకు చెప్పగలరా?
1383,I'm in a big hurry.,నేను పెద్ద ఆతురుతలో ఉన్నాను.
1384,I need a little time.,నాకు కొంచెం సమయం కావాలి.
1385,I'm at the office.,నేను ఆఫీసులో ఉన్నాను.
1386,There is no telling what will happen.,ఏమి జరుగుతుందో చెప్పడం లేదు.
1387,How many apples does it take to make three apple pies?,మూడు ఆపిల్ పైస్ తయారు చేయడానికి ఎన్ని ఆపిల్ల పడుతుంది?
1388,Don't get angry. It won't help you.,కోపం తెచ్చుకోకండి.
1389,I don't have a cellphone.,నా దగ్గర సెల్‌ఫోన్ లేదు.
1390,I want to travel by airplane.,నేను విమానం ద్వారా ప్రయాణించాలనుకుంటున్నాను.
1391,I want to see them again.,నేను వాటిని మళ్ళీ చూడాలనుకుంటున్నాను.
1392,Please don't ask us to do that.,దయచేసి అలా చేయమని మమ్మల్ని అడగవద్దు.
1393,It's time to reflect on your past.,మీ గతాన్ని ప్రతిబింబించే సమయం ఇది.
1394,You should be careful when you drive a car.,మీరు కారు నడుపుతున్నప్పుడు జాగ్రత్తగా ఉండాలి.
1395,He is at home today.,అతను ఈ రోజు ఇంట్లో ఉన్నాడు.
1396,I'll give you a day to think about it.,దాని గురించి ఆలోచించడానికి నేను మీకు ఒక రోజు ఇస్తాను.
1397,I can't send you all the files at the same time.,నేను మీకు ఒకేసారి అన్ని ఫైళ్ళను పంపలేను.
1398,I will wait outside.,నేను బయట వేచి ఉంటాను.
1399,I'm thinking of going to Boston.,నేను బోస్టన్‌కు వెళ్లాలని ఆలోచిస్తున్నాను.
1400,I can't do it today.,నేను ఈ రోజు చేయలేను.
1401,How long have you been working here?,మీరు ఇక్కడ ఎంతకాలం పనిచేస్తున్నారు?
1402,I'm so happy I left Boston.,నేను బోస్టన్ వదిలి చాలా సంతోషంగా ఉన్నాను.
1403,It's on the table.,అది బల్లపై ఉంది.
1404,I'm going to do it myself.,నేనే చేయబోతున్నాను.
1405,I can't breathe through my nose.,నా ముక్కు ద్వారా he పిరి పీల్చుకోలేను.
1406,Please send me a postcard.,దయచేసి నాకు పోస్ట్‌కార్డ్ పంపండి.
1407,You should tell your mother as soon as possible.,మీరు వీలైనంత త్వరగా మీ తల్లికి చెప్పాలి.
1408,I've only had one girlfriend.,నాకు ఒక స్నేహితురాలు మాత్రమే ఉంది.
1409,I don't feel like it.,నాకు అలా అనిపించదు.
1410,I don't think I'll go to college.,నేను కాలేజీకి వెళ్తాను అని అనుకోను.
1411,I wanted you to feel at home.,మీరు ఇంట్లో అనుభూతి చెందాలని నేను కోరుకున్నాను.
1412,I think we need more water.,మనకు ఎక్కువ నీరు అవసరమని నేను అనుకుంటున్నాను.
1413,Don't worry. You'll get used to it.,చింతించకండి.
1414,I think that's a good idea.,ఇది మంచి ఆలోచన అని నేను అనుకుంటున్నాను.
1415,It's almost time to go.,ఇది దాదాపు సమయం.
1416,It's none of my business!,ఇది నా వ్యాపారం కాదు!
1417,I am downloading books.,నేను పుస్తకాలను డౌన్‌లోడ్ చేస్తున్నాను.
1418,I've heard that you shouldn't eat red meat more than once a day.,మీరు ఎర్ర మాంసం రోజుకు ఒకటి కంటే ఎక్కువసార్లు తినకూడదని విన్నాను.
1419,Don't treat me like a kid.,నన్ను చిన్నపిల్లలా చూసుకోవద్దు.
1420,I don't always understand what's going on.,ఏమి జరుగుతుందో నాకు ఎప్పుడూ అర్థం కాలేదు.
1421,Would you be friends with me?,మీరు నాతో స్నేహం చేస్తారా?
1422,I don't often come here.,నేను తరచుగా ఇక్కడికి రాలేను.
1423,What is the best remedy for colds?,జలుబుకు ఉత్తమ నివారణ ఏమిటి?
1424,Don't forget your phone.,మీ ఫోన్‌ను మర్చిపోవద్దు.
1425,I'm ready to listen.,నేను వినడానికి సిద్ధంగా ఉన్నాను.
1426,I don't know how long it takes to get to Boston from here.,ఇక్కడి నుండి బోస్టన్‌కు వెళ్లడానికి ఎంత సమయం పడుతుందో నాకు తెలియదు.
1427,I need to ask you for a favor.,నేను మీకు సహాయం కోరాలి.
1428,I am not sure whether I will be able to come with you.,నేను మీతో రాగలనా అని నాకు తెలియదు.
1429,Let's take a rest here.,ఇక్కడ విశ్రాంతి తీసుకుందాం.
1430,I don't think either of us wants that to happen.,మనలో ఇద్దరూ అలా జరగాలని కోరుకుంటున్నారని నేను అనుకోను.
1431,I don't like this hat.,ఈ టోపీ నాకు నచ్చలేదు.
1432,It is said that the price of wine may go up at any time now.,ఇప్పుడు ఎప్పుడైనా వైన్ ధర పెరగవచ్చు.
1433,Let's go into the garden.,తోటలోకి వెళ్దాం.
1434,I want something to eat.,నేను తినడానికి ఏదైనా కావాలి.
1435,I like contact sports.,నాకు కాంటాక్ట్ స్పోర్ట్స్ అంటే ఇష్టం.
1436,It's time we talked.,ఇది మేము మాట్లాడిన సమయం.
1437,I didn't want you to read that.,మీరు దానిని చదవాలని నేను కోరుకోలేదు.
1438,I'll be happy to help you.,నేను మీకు సహాయం చేసినందుకు సంతోషంగా ఉంటాను.
1439,I'm waiting for a train.,నేను రైలు కోసం ఎదురు చూస్తున్నాను.
1440,I need to study harder.,నేను కష్టపడి అధ్యయనం చేయాలి.
1441,I'm too busy to go.,నేను వెళ్ళడానికి చాలా బిజీగా ఉన్నాను.
1442,How much time does that require?,దానికి ఎంత సమయం అవసరం?
1443,How long ago was that?,అది ఎంతకాలం క్రితం?
1444,I want you to tell me about what happened.,ఏమి జరిగిందో మీరు నాకు చెప్పాలని నేను కోరుకుంటున్నాను.
1445,We have to work faster.,మేము వేగంగా పని చేయాలి.
1446,I want to climb Mt. Fuji again.,నేను మౌంట్ ఎక్కాలనుకుంటున్నాను.
1447,I need you to wait a bit longer.,మీరు కొంచెంసేపు వేచి ఉండాల్సిన అవసరం ఉంది.
1448,I'm not willing to take that risk.,నేను ఆ రిస్క్ తీసుకోవడానికి ఇష్టపడను.
1449,I don't like bananas.,నాకు అరటిపండ్లు నచ్చవు.
1450,I was very happy to see my old friend.,నా పాత స్నేహితుడిని చూసి చాలా సంతోషంగా ఉంది.
1451,Can you recommend a good book?,మీరు మంచి పుస్తకాన్ని సిఫారసు చేయగలరా?
1452,How many people are in the house?,ఇంట్లో ఎంత మంది ఉన్నారు?
1453,I'm asking for your help.,నేను మీ సహాయం అడుగుతున్నాను.
1454,Please don't speak French anymore.,దయచేసి ఇక ఫ్రెంచ్ మాట్లాడకండి.
1455,I'm supposed to be working this afternoon.,నేను ఈ మధ్యాహ్నం పని చేయాల్సి ఉంది.
1456,I'll come back for my suitcases this afternoon.,నేను ఈ మధ్యాహ్నం నా సూట్‌కేసుల కోసం తిరిగి వస్తాను.
1457,I have a car that was made in Japan.,నా దగ్గర జపాన్‌లో తయారైన కారు ఉంది.
1458,Don't do anything you don't want to do.,మీరు చేయకూడదనుకునే ఏదైనా చేయవద్దు.
1459,I will see to it that everything is ready in time.,ప్రతిదీ సమయానికి సిద్ధంగా ఉందని నేను చూస్తాను.
1460,Give me the book.,నాకు పుస్తకం ఇవ్వండి.
1461,Could you give me a ride to the station?,మీరు నాకు స్టేషన్‌కు ప్రయాణించగలరా?
1462,I don't think I'll ever be forgiven.,నేను ఎప్పటికీ క్షమించబడతానని అనుకోను.
1463,I didn't know you could cook like this.,మీరు ఇలా ఉడికించగలరని నాకు తెలియదు.
1464,I'm proud that my father is a good cook.,నా తండ్రి మంచి కుక్ అని గర్వపడుతున్నాను.
1465,Can you help solve this mystery?,ఈ రహస్యాన్ని పరిష్కరించడానికి మీరు సహాయం చేయగలరా?
1466,I've always wanted to live in a castle.,నేను ఎప్పుడూ కోటలో నివసించాలనుకుంటున్నాను.
1467,I didn't realize that at the time.,ఆ సమయంలో నేను గ్రహించలేదు.
1468,It's raining.,వర్షం పడుతుంది.
1469,I think I'm on the wrong bus.,నేను తప్పు బస్సులో ఉన్నాను.
1470,We have to help.,మేము సహాయం చేయాలి.
1471,I have two brothers.,నాకు ఇద్దరు సోదరులు.
1472,I'm going to find out what's happening.,నేను ఏమి జరుగుతుందో తెలుసుకోబోతున్నాను.
1473,I am going to swim a lot this summer.,నేను ఈ వేసవిలో చాలా ఈత కొట్టబోతున్నాను.
1474,I want something cold to drink now.,నేను ఇప్పుడు చల్లగా ఏదో తాగాలి.
1475,I'm going to church tonight.,నేను ఈ రాత్రి చర్చికి వెళుతున్నాను.
1476,Please fix it.,దయచేసి దాన్ని పరిష్కరించండి.
1477,I will give you a good example to illustrate what I mean.,నా ఉద్దేశ్యాన్ని వివరించడానికి నేను మీకు మంచి ఉదాహరణ ఇస్తాను.
1478,I don't want to go home.,నేను ఇంటికి వెళ్లడం ఇష్టం లేదు.
1479,Don't come in.,లోపలికి రావద్దు.
1480,I'll only be gone for a few days.,నేను కొన్ని రోజులు మాత్రమే పోతాను.
1481,You shouldn't let children play with the kitchen knife.,మీరు పిల్లలను వంటగది కత్తితో ఆడుకోకూడదు.
1482,I was just saying how happy you two must be.,మీరిద్దరూ ఎంత సంతోషంగా ఉండాలి అని నేను ఇప్పుడే చెప్పాను.
1483,We have enough time to catch the train.,రైలును పట్టుకోవడానికి మాకు తగినంత సమయం ఉంది.
1484,I want to talk about something else.,నేను వేరే దాని గురించి మాట్లాడాలనుకుంటున్నాను.
1485,It's going to snow today.,ఈ రోజు మంచు కురుస్తుంది.
1486,It's going to be different now.,ఇది ఇప్పుడు భిన్నంగా ఉంటుంది.
1487,I feel like watching TV.,నేను టీవీ చూడాలని భావిస్తున్నాను.
1488,Don't go.,వెళ్లవద్దు.
1489,How long does the airport bus take to the airport?,విమానాశ్రయం బస్సు విమానాశ్రయానికి ఎంత సమయం పడుతుంది?
1490,I'm afraid there isn't much time.,ఎక్కువ సమయం లేదని నేను భయపడుతున్నాను.
1491,Can you tell me about it?,మీరు దాని గురించి నాకు చెప్పగలరా?
1492,I'm afraid there's nothing we can do.,మనం ఏమీ చేయలేమని నేను భయపడుతున్నాను.
1493,I'll tell you why.,నేను ఎందుకు చెప్తాను.
1494,"I can't swim, but my younger brother can.","నేను ఈత కొట్టలేను, కాని నా తమ్ముడు చేయగలడు."
1495,How long were you gone?,మీరు ఎంతకాలం పోయారు?
1496,Please turn off the TV.,దయచేసి టీవీని ఆపివేయండి.
1497,I'm very likely to be busy on Monday.,నేను సోమవారం బిజీగా ఉండే అవకాశం ఉంది.
1498,I don't know if it's what he wants or not.,అతను ఏమి కోరుకుంటున్నాడో లేదో నాకు తెలియదు.
1499,Let's eat before our dinner gets cold.,మా విందు చల్లబరచడానికి ముందే తినండి.
1500,"I feel like playing, too.",నేను కూడా ఆడాలని భావిస్తున్నాను.
1501,I like the smell of bread just out of the oven.,పొయ్యి నుండి రొట్టె వాసన నాకు చాలా ఇష్టం.
1502,Will you please open the window?,దయచేసి మీరు విండోను తెరుస్తారా?
1503,I needed help.,నాకు సహాయం కావాలి.
1504,You are still sick. You have to stay in bed.,మీరు ఇంకా అనారోగ్యంతో ఉన్నారు.
1505,Where are you going to live?,మీరు ఎక్కడ నివసించబోతున్నారు?
1506,Don't you want this?,మీకు ఇది వద్దు?
1507,I don't want to embarrass you in front of your friends.,మీ స్నేహితుల ముందు మిమ్మల్ని ఇబ్బంది పెట్టడం నాకు ఇష్టం లేదు.
1508,It's very cold this evening.,ఈ సాయంత్రం చాలా చల్లగా ఉంది.
1509,I don't have time to eat now.,నాకు ఇప్పుడు తినడానికి సమయం లేదు.
1510,I need to know what happened.,ఏమి జరిగిందో నేను తెలుసుకోవాలి.
1511,I've always wanted to climb Mt. Fuji.,నేను ఎప్పుడూ మౌంట్ ఎక్కాలని అనుకున్నాను.
1512,I don't think I'm needed here any longer.,నేను ఇకపై ఇక్కడ అవసరమని అనుకోను.
1513,I like going fishing with my dad.,నాన్నతో చేపలు పట్టడం నాకు చాలా ఇష్టం.
1514,I'm still waiting for a reply.,నేను ఇంకా సమాధానం కోసం ఎదురు చూస్తున్నాను.
1515,What is it you want from me?,నా నుండి మీకు ఏమి కావాలి?
1516,Please tell me which bus to take to go downtown.,డౌన్ టౌన్ వెళ్ళడానికి ఏ బస్సు తీసుకోవాలో దయచేసి నాకు చెప్పండి.
1517,I like to play poker.,నాకు పేకాట ఆడటం ఇష్టం.
1518,I'm not good at speaking French.,నేను ఫ్రెంచ్ మాట్లాడటం మంచిది కాదు.
1519,I think I've got a better idea.,నాకు మంచి ఆలోచన వచ్చిందని అనుకుంటున్నాను.
1520,I don't think we should wait any longer.,మనం ఇక వేచి ఉండాలని నేను అనుకోను.
1521,I've got a son.,నాకు ఒక కొడుకు వచ్చాడు.
1522,Will you please explain the meaning of this sentence to me?,దయచేసి ఈ వాక్యం యొక్క అర్ధాన్ని నాకు వివరిస్తారా?
1523,I'll rent a car.,నేను కారు అద్దెకు తీసుకుంటాను.
1524,I like meat better than fish.,నాకు చేపల కన్నా మాంసం బాగా ఇష్టం.
1525,I want to dance at my granddaughter's wedding.,నా మనవరాలు పెళ్లిలో డాన్స్ చేయాలనుకుంటున్నాను.
1526,Please tell me how to pronounce this word.,దయచేసి ఈ పదాన్ని ఎలా ఉచ్చరించాలో చెప్పు.
1527,I can't go out like this.,నేను ఇలా బయటకు వెళ్ళలేను.
1528,I need you to focus and listen to me.,మీరు నా దృష్టిని కేంద్రీకరించడం మరియు వినడం నాకు అవసరం.
1529,I'm the one who has to do most of the work.,నేను చాలా పని చేయాల్సి ఉంటుంది.
1530,I can't come in today.,నేను ఈ రోజు లోపలికి రాలేను.
1531,"Let's take a coffee break, shall we?","కాఫీ విరామం తీసుకుందాం, మనం?"
1532,I've got a birthday coming up.,నాకు పుట్టినరోజు వచ్చింది.
1533,I'll take the children to school.,నేను పిల్లలను బడికి తీసుకువెళతాను.
1534,It's not that cold.,ఇది అంత చలి కాదు.
